state,year,quarter,total_amount
karnataka,2024,4,4151819803822.0
maharashtra,2024,4,4151028450887.0
karnataka,2024,3,3907202566484.0
telangana,2024,4,3859050535418.0
karnataka,2024,2,3785034703438.0
maharashtra,2024,3,3687268662139.0
maharashtra,2024,2,3573189333587.0
telangana,2024,3,3551316976598.0
karnataka,2024,1,3485248654506.0
telangana,2024,2,3461542433312.0
andhra-pradesh,2024,4,3452015568966.0
maharashtra,2024,1,3372898894856.0
karnataka,2023,4,3241376424383.0
andhra-pradesh,2024,3,3226645607489.0
uttar-pradesh,2024,4,3214106522459.0
telangana,2024,1,3203769301073.0
andhra-pradesh,2024,2,3181922420088.0
telangana,2023,4,3116417474765.0
maharashtra,2023,4,3098014934958.0
andhra-pradesh,2024,1,3012725669749.0
karnataka,2023,3,2985880895587.0
telangana,2022,4,2978252562916.148
telangana,2023,3,2870202901073.0
andhra-pradesh,2023,4,2802514977823.0
rajasthan,2024,4,2793049371408.0
karnataka,2023,2,2777599098830.0
maharashtra,2023,3,2752172184241.0
uttar-pradesh,2024,3,2717475205234.0
telangana,2022,3,2706325865752.0728
uttar-pradesh,2024,2,2704223360067.0
telangana,2023,2,2698149935008.0
andhra-pradesh,2023,3,2653414098098.0
maharashtra,2023,2,2606004606468.0
andhra-pradesh,2023,2,2506039086916.0
rajasthan,2024,2,2497094537924.0
uttar-pradesh,2024,1,2477543106639.0
rajasthan,2024,3,2472257715905.0
karnataka,2023,1,2470227226317.0
telangana,2023,1,2372581734284.0
maharashtra,2023,1,2362285906059.0
rajasthan,2024,1,2350500173790.0
uttar-pradesh,2023,4,2257441161652.0
andhra-pradesh,2023,1,2249051316530.0
maharashtra,2022,4,2210470839617.1304
bihar,2024,4,2098927476047.0
rajasthan,2023,4,2066379607801.0
maharashtra,2022,2,2006272382175.8887
madhya-pradesh,2024,4,2003305068845.0
telangana,2022,2,1951414544517.0774
maharashtra,2022,3,1947579187374.547
karnataka,2022,4,1904516622907.6438
bihar,2024,2,1886846564676.0
karnataka,2022,2,1867146114059.2336
uttar-pradesh,2023,3,1861748362006.0
uttar-pradesh,2023,2,1836622076526.0
west-bengal,2024,4,1810100029406.0
rajasthan,2023,3,1800225443616.0
bihar,2024,3,1780280473339.0
madhya-pradesh,2024,2,1779679946627.0
madhya-pradesh,2024,3,1761082466531.0
rajasthan,2023,2,1698455586300.0
maharashtra,2022,1,1681399273981.1345
telangana,2022,1,1670638169828.9746
karnataka,2022,3,1665918232611.024
bihar,2024,1,1637736864896.0
uttar-pradesh,2023,1,1636936265372.0
madhya-pradesh,2024,1,1625420229864.0
west-bengal,2024,3,1607643782237.0
karnataka,2022,1,1566649488305.8816
rajasthan,2023,1,1554913375850.0
west-bengal,2024,2,1547343815564.0
andhra-pradesh,2022,2,1479853948202.9336
maharashtra,2021,4,1475358473128.501
telangana,2021,4,1463758189500.9102
rajasthan,2022,4,1456956699398.6575
bihar,2023,4,1434735808415.0
madhya-pradesh,2023,4,1426502880687.0
andhra-pradesh,2022,4,1424725083041.656
west-bengal,2024,1,1422025506833.0
andhra-pradesh,2022,3,1385077409712.143
uttar-pradesh,2022,4,1376378802069.512
karnataka,2021,4,1375471324349.8733
odisha,2024,4,1305457593239.0
madhya-pradesh,2022,4,1302999857548.3237
andhra-pradesh,2022,1,1294320646554.8762
west-bengal,2023,4,1249394976078.0
rajasthan,2022,3,1238489256318.2769
madhya-pradesh,2023,3,1237821998249.0
bihar,2023,2,1226046745390.0
madhya-pradesh,2023,2,1202440949508.0
telangana,2021,3,1178289126292.254
odisha,2024,3,1177233944634.0
odisha,2024,2,1164839284001.0
maharashtra,2021,3,1159257305167.4438
odisha,2024,1,1156388722536.0
andhra-pradesh,2021,4,1156264447083.98
rajasthan,2022,2,1152833518600.3918
bihar,2023,3,1148153363366.0
karnataka,2021,3,1133234739157.5894
uttar-pradesh,2022,3,1121370050898.776
tamil-nadu,2024,4,1087632875606.0
gujarat,2024,4,1076014501422.0
west-bengal,2023,3,1071548606382.0
uttar-pradesh,2022,2,1067515182420.0088
madhya-pradesh,2023,1,1062026599901.0
delhi,2024,4,1057060485903.0
tamil-nadu,2024,3,1050779594821.0
bihar,2023,1,1039276959944.0
madhya-pradesh,2022,3,1032908494249.664
haryana,2024,4,1031959359354.0
telangana,2021,2,1027958332797.5839
rajasthan,2022,1,1022050180980.1293
west-bengal,2023,2,1009315106972.0
tamil-nadu,2024,2,985151149866.0
andhra-pradesh,2021,3,984218035564.1165
odisha,2023,4,978791865637.0
gujarat,2024,3,963551388101.0
delhi,2024,3,958203383588.0
bihar,2022,4,936012149674.8322
haryana,2024,3,923206681798.0
maharashtra,2021,2,915115055623.7015
tamil-nadu,2024,1,913861111062.0
gujarat,2024,2,910625046933.0
haryana,2024,2,905444595600.0
rajasthan,2021,4,903934418544.316
delhi,2024,2,896917676180.0
west-bengal,2023,1,896883182555.0
uttar-pradesh,2022,1,883123174117.0261
tamil-nadu,2023,4,872870665005.0
gujarat,2024,1,871619464924.0
madhya-pradesh,2022,2,867024737328.5857
andhra-pradesh,2021,2,850737499108.2452
odisha,2023,3,840298338124.0
karnataka,2021,2,837887151230.0494
tamil-nadu,2023,3,833105264698.0
delhi,2024,1,832514031113.0
haryana,2024,1,806788219232.0
delhi,2023,4,799649719349.0
telangana,2021,1,799359264046.5896
odisha,2023,2,799332054104.0
gujarat,2023,4,795087199074.0
bihar,2022,3,791446486557.9156
west-bengal,2022,4,787775633607.2498
haryana,2023,4,782270484600.0
tamil-nadu,2023,2,776362551015.0
uttar-pradesh,2021,4,773890970072.2234
maharashtra,2021,1,769887352153.2501
karnataka,2021,1,754995357412.3933
bihar,2022,2,754461454966.14
odisha,2023,1,753968977663.0
madhya-pradesh,2022,1,747665139599.6476
delhi,2022,4,744915016018.5758
tamil-nadu,2023,1,715583673518.0
rajasthan,2021,3,710511328542.4847
delhi,2023,3,708199251438.0
gujarat,2023,3,707737036450.0
west-bengal,2022,3,704749898612.144
jharkhand,2024,4,704010501034.0
telangana,2020,4,696350439226.957
delhi,2022,3,677612647116.1163
haryana,2023,3,677491980740.0
tamil-nadu,2022,4,675689667591.438
andhra-pradesh,2021,1,672444670176.6162
haryana,2023,2,661742128636.0
delhi,2023,2,661728515657.0
karnataka,2020,4,658036698565.0183
madhya-pradesh,2021,4,656887492404.506
andhra-pradesh,2020,4,654841546033.3309
odisha,2022,4,652217064524.0004
west-bengal,2022,2,648575179584.2455
gujarat,2023,2,645407208525.0
tamil-nadu,2022,3,631879220373.2683
delhi,2022,2,629855650458.2168
maharashtra,2020,4,622155530832.2942
jharkhand,2024,2,620115922491.0
bihar,2022,1,611411695731.1459
delhi,2023,1,611403109580.0
jharkhand,2024,3,609909540592.0
gujarat,2023,1,597826188806.0
haryana,2023,1,591150623736.0
tamil-nadu,2022,2,590134727678.3966
chhattisgarh,2024,4,576828444625.0
gujarat,2022,4,567918305336.5378
odisha,2022,3,564545557340.55
rajasthan,2021,2,561702765169.2445
jharkhand,2024,1,559720237073.0
uttar-pradesh,2021,3,557080841279.9349
west-bengal,2022,1,551426663209.5621
delhi,2022,1,536964920836.2889
bihar,2021,4,519371614068.76184
tamil-nadu,2022,1,512789201600.63257
odisha,2022,2,510035012340.02734
telangana,2020,3,505961144755.86993
madhya-pradesh,2021,3,504412603851.5364
jharkhand,2023,4,498720104925.0
gujarat,2022,3,497437502209.4494
chhattisgarh,2024,3,497360133758.0
chhattisgarh,2024,2,496313432419.0
rajasthan,2021,1,491492581657.64545
haryana,2022,4,490490659880.1036
delhi,2021,4,488695314062.3912
uttar-pradesh,2021,2,482172489166.3863
karnataka,2020,3,470740515696.6817
andhra-pradesh,2020,3,467084130584.9084
chhattisgarh,2024,1,463009809901.0
west-bengal,2021,4,462218037262.09705
odisha,2022,1,451227311779.8239
gujarat,2022,2,446798000976.8455
tamil-nadu,2021,4,443723952594.80255
maharashtra,2020,3,440307079012.44507
haryana,2022,3,428054494578.0264
madhya-pradesh,2021,2,425500768035.6249
jharkhand,2023,2,422214727508.0
jharkhand,2023,3,418384424020.0
chhattisgarh,2023,4,403985034545.0
bihar,2021,3,397062760956.41205
uttar-pradesh,2021,1,396287587577.56604
haryana,2022,2,395234035249.50635
gujarat,2022,1,392548092253.5479
rajasthan,2020,4,386034779836.50433
odisha,2021,4,385251049689.9193
delhi,2021,3,383858316548.28107
assam,2024,4,382786405959.0
bihar,2021,2,374580255186.5789
telangana,2020,1,371343780368.2161
jharkhand,2023,1,367371336021.0
tamil-nadu,2021,3,365207323053.93335
west-bengal,2021,3,362457066256.5123
uttar-pradesh,2020,4,357428826778.2678
karnataka,2020,1,353402054999.39777
chhattisgarh,2023,3,350379679526.0
assam,2024,2,345308670210.0
madhya-pradesh,2021,1,343533954382.2886
gujarat,2021,4,342382580053.6278
haryana,2022,1,341304042652.7771
assam,2024,3,333558308550.0
chhattisgarh,2023,2,333156846754.0
telangana,2020,2,321531839352.4309
assam,2024,1,321183906030.0
karnataka,2020,2,321104877020.13794
maharashtra,2020,1,319995196718.09546
haryana,2021,4,309240599300.46063
odisha,2021,3,303780718933.0413
andhra-pradesh,2020,2,302583689746.5638
chhattisgarh,2023,1,301088936459.0
maharashtra,2020,2,296359517159.4149
karnataka,2019,4,295047143447.2323
rajasthan,2020,3,293678306162.45807
punjab,2024,4,289125652032.0
assam,2023,4,285603636931.0
madhya-pradesh,2020,4,284275139772.3714
delhi,2021,2,281941097684.54144
bihar,2021,1,280973649701.22815
telangana,2019,4,280746765547.74396
west-bengal,2021,2,279434811058.56384
jharkhand,2022,4,277971737448.58136
kerala,2024,4,273639970566.0
maharashtra,2019,4,272994428799.55038
gujarat,2021,3,272624626113.58823
delhi,2021,1,266928345043.49265
tamil-nadu,2021,2,263487341026.5519
kerala,2024,3,258302031309.0
punjab,2024,3,256116156529.0
andhra-pradesh,2020,1,252737214289.06284
chhattisgarh,2022,4,252519180810.47153
uttar-pradesh,2020,3,248689955423.06284
tamil-nadu,2021,1,248668143873.65067
odisha,2021,2,245864117477.27435
punjab,2024,2,244435036984.0
assam,2023,3,244058014402.0
west-bengal,2021,1,242937207475.52194
kerala,2024,2,242003822595.0
haryana,2021,3,240827092259.20917
bihar,2020,4,238905613136.47278
assam,2023,2,235110788783.0
punjab,2023,4,231139462165.0
jharkhand,2022,3,229412884063.9579
kerala,2024,1,227077974738.0
jharkhand,2022,2,225636227828.13782
kerala,2023,4,224985321465.0
punjab,2024,1,223303420322.0
kerala,2023,3,220332613329.0
chhattisgarh,2022,3,220161558081.98898
delhi,2020,4,216265088224.5435
karnataka,2019,3,214536720438.18845
odisha,2021,1,213397736188.34085
assam,2023,1,212354167087.0
gujarat,2021,2,210162054552.11707
kerala,2023,2,207796670985.0
tamil-nadu,2020,4,206473197500.99475
madhya-pradesh,2020,3,205701679984.5381
punjab,2023,3,205225582737.0
telangana,2019,3,201930021130.42593
andhra-pradesh,2019,4,200948315488.79117
haryana,2021,2,200357354238.68405
maharashtra,2019,3,199617506744.95087
west-bengal,2020,4,199165491365.64813
uttarakhand,2024,4,194908790959.0
jharkhand,2022,1,194700207087.16724
punjab,2023,2,194181575454.0
rajasthan,2020,2,193763273003.26535
kerala,2023,1,193637089677.0
assam,2022,4,192653519187.5461
rajasthan,2020,1,190308238561.00803
gujarat,2021,1,183700780713.45038
chhattisgarh,2022,2,181181677163.78122
uttarakhand,2024,2,180612915790.0
uttar-pradesh,2020,2,178744016130.2882
odisha,2020,4,178302663014.61722
punjab,2023,1,175508676860.0
delhi,2020,3,175163962804.66064
kerala,2022,4,173559808599.70972
uttarakhand,2024,3,173414867549.0
bihar,2020,3,173328865111.8184
uttar-pradesh,2020,1,172416434960.69867
haryana,2021,1,168938301082.42838
punjab,2022,4,168107427177.93903
jharkhand,2021,4,166017119003.70593
karnataka,2019,2,163702024226.0843
kerala,2022,3,162260419315.4295
assam,2022,3,161489079054.8985
jammu-&-kashmir,2024,4,160950980732.0
haryana,2020,4,159998504366.5418
rajasthan,2019,4,159452410049.67044
chhattisgarh,2022,1,157847045454.8345
west-bengal,2020,3,156813355855.14105
telangana,2019,2,155676443182.4351
kerala,2022,2,154696329549.12445
maharashtra,2019,2,153294470088.05832
assam,2022,2,153111042086.78342
uttarakhand,2024,1,150276835263.0
punjab,2022,3,149319443006.35474
gujarat,2020,4,148393060112.43924
uttarakhand,2023,4,148083447262.0
madhya-pradesh,2020,2,147922015289.06244
uttar-pradesh,2019,4,145538926507.29608
jammu-&-kashmir,2024,3,144470345977.0
tamil-nadu,2020,3,143841415498.6641
kerala,2022,1,139988942464.6941
andhra-pradesh,2019,3,139447944254.7939
punjab,2022,2,137345426369.22705
chhattisgarh,2021,4,136399110518.81282
uttarakhand,2023,2,134072872398.0
delhi,2020,1,133616543642.59009
assam,2022,1,132280437892.70285
jammu-&-kashmir,2024,2,129061756911.0
delhi,2019,4,129024467424.8907
bihar,2020,2,128806523628.84401
uttarakhand,2023,3,128762398121.0
madhya-pradesh,2020,1,126737281436.19421
kerala,2021,4,123342136943.36371
odisha,2020,3,122463943804.29268
jharkhand,2021,3,121891015118.85306
punjab,2022,1,118389978105.96286
karnataka,2019,1,117976382145.7573
tamil-nadu,2020,1,116569686179.44038
uttarakhand,2022,4,115496046831.35934
andhra-pradesh,2019,2,113634518758.22997
goa,2024,4,113125179086.0
rajasthan,2019,3,112468290031.93028
gujarat,2020,3,111921752484.71222
maharashtra,2019,1,111420690920.341
uttar-pradesh,2019,3,111268137475.04974
punjab,2021,4,110710126241.99957
haryana,2020,3,109567950445.73079
bihar,2020,1,109256853527.24608
delhi,2020,2,107873438203.33102
uttarakhand,2023,1,107179907585.0
madhya-pradesh,2019,4,104687926790.85822
chhattisgarh,2021,3,104606108262.77673
jharkhand,2021,2,104432643311.45796
assam,2021,4,104184967893.21542
delhi,2019,3,103196812046.45686
tamil-nadu,2019,4,103190865512.54332
kerala,2021,3,101686161773.12961
west-bengal,2020,2,100099431877.35535
uttar-pradesh,2019,2,98917519370.67569
west-bengal,2020,1,96653305190.93817
tamil-nadu,2020,2,95826508896.82855
telangana,2019,1,95523262035.66469
goa,2024,2,94909661424.0
jammu-&-kashmir,2024,1,93960928941.0
bihar,2019,4,93313426577.80928
jammu-&-kashmir,2023,4,93070141760.0
uttarakhand,2022,3,92641259938.36305
odisha,2020,1,91956798199.33316
goa,2024,3,91827056024.0
odisha,2020,2,91733036612.09654
goa,2024,1,90703800520.0
rajasthan,2019,2,89107313172.66544
goa,2023,4,88575343114.0
uttarakhand,2022,2,88313371025.33424
west-bengal,2019,4,88203610254.64673
gujarat,2020,1,86995076621.90312
jammu-&-kashmir,2023,3,86016148426.0
punjab,2021,3,85992560840.61221
andhra-pradesh,2019,1,83760595917.0764
jharkhand,2021,1,83749353123.13959
haryana,2020,1,81976214558.24408
delhi,2019,2,81706816063.62831
haryana,2020,2,80711264923.94069
gujarat,2020,2,80387846359.49065
odisha,2019,4,79769373632.05055
maharashtra,2018,4,79518937047.83362
tamil-nadu,2019,3,78959604643.63841
chhattisgarh,2021,2,78728771259.22603
madhya-pradesh,2019,3,77676321491.2433
goa,2023,2,76824413886.0
gujarat,2019,4,76690662054.91406
jammu-&-kashmir,2023,2,76530005380.0
uttar-pradesh,2019,1,76524180134.00966
assam,2021,3,75700499273.30763
goa,2023,3,74750359948.0
kerala,2021,2,74226806436.15651
karnataka,2018,4,73008386576.06798
jharkhand,2020,4,72805174830.04355
uttarakhand,2022,1,70978782500.07466
west-bengal,2019,3,70540532616.83047
goa,2023,1,70193931550.0
punjab,2021,2,69531058562.61519
chhattisgarh,2021,1,69409843261.55156
haryana,2019,4,69359719869.10129
kerala,2021,1,69260970161.8946
madhya-pradesh,2019,2,68334566380.557884
bihar,2019,3,67692783254.278915
uttarakhand,2021,4,66148108159.42112
tamil-nadu,2019,2,64207676025.757675
himachal-pradesh,2024,4,63736996234.0
bihar,2019,2,63132438283.54189
chhattisgarh,2020,4,62214974283.94858
rajasthan,2019,1,61141158575.55401
himachal-pradesh,2024,2,59849740702.0
gujarat,2019,3,59462694964.2678
assam,2021,2,59192473376.663826
punjab,2021,1,58690887091.10669
delhi,2019,1,58469131789.49727
odisha,2019,3,57304577359.22323
west-bengal,2019,2,57105691119.11872
kerala,2020,4,56755256647.01139
himachal-pradesh,2024,3,56615941598.0
tamil-nadu,2019,1,56204036816.12997
jammu-&-kashmir,2023,1,55921747581.0
uttar-pradesh,2018,4,55096743575.917305
punjab,2020,4,53775406479.555016
haryana,2019,3,52489119199.442024
maharashtra,2018,3,52260817733.247025
andhra-pradesh,2018,4,51473779406.841
assam,2021,1,51326464546.12237
jharkhand,2020,3,50622615820.01364
uttarakhand,2021,3,50527496783.56444
west-bengal,2019,1,50164672623.87979
goa,2022,4,49849972742.67831
telangana,2018,4,49509088448.04851
gujarat,2019,2,49320615219.26747
himachal-pradesh,2023,4,48280246564.0
karnataka,2018,3,48225091755.80809
madhya-pradesh,2019,1,48070279522.04784
himachal-pradesh,2024,1,47884231339.0
himachal-pradesh,2023,2,46875063718.0
jammu-&-kashmir,2022,2,46254290836.6356
odisha,2019,2,44754854871.67385
jammu-&-kashmir,2022,4,44315295915.49385
tamil-nadu,2018,4,43302073975.894104
haryana,2019,2,42501539813.21621
himachal-pradesh,2023,3,41854571637.0
west-bengal,2018,3,41843934183.17847
himachal-pradesh,2022,4,41779343232.37369
chhattisgarh,2020,3,41526744807.53408
bihar,2019,1,41502827514.52626
uttarakhand,2021,2,40990817874.838234
jammu-&-kashmir,2022,3,40963554502.24823
west-bengal,2018,4,40489619211.70435
assam,2020,4,40226611319.26421
kerala,2020,3,40164150651.9542
punjab,2020,3,40123092147.813385
delhi,2018,4,39722857618.7064
goa,2022,3,39148530551.41266
jammu-&-kashmir,2021,4,38926237425.77167
rajasthan,2018,4,37909087083.33867
himachal-pradesh,2023,1,37740947734.0
jharkhand,2020,2,37486201975.9236
himachal-pradesh,2022,3,37380782688.5404
uttar-pradesh,2018,3,37012114369.241066
maharashtra,2018,2,36357057241.12072
uttarakhand,2021,1,36288189399.89842
gujarat,2019,1,35856080308.47694
andhra-pradesh,2018,3,35718044599.214935
odisha,2019,1,35427127930.699646
arunachal-pradesh,2024,4,35079886873.0
haryana,2019,1,34051655721.631634
madhya-pradesh,2018,4,33905608072.96732
himachal-pradesh,2022,2,33709107958.24229
jharkhand,2020,1,33611232153.268803
karnataka,2018,2,33515580081.300995
jammu-&-kashmir,2022,1,33147863626.159073
chhattisgarh,2020,1,32860597671.35623
chhattisgarh,2020,2,32268382206.901356
telangana,2018,3,32030093209.72356
uttarakhand,2020,4,31792739329.110386
arunachal-pradesh,2024,3,31601956705.0
jammu-&-kashmir,2021,3,31598443648.032127
punjab,2020,1,31374185265.89967
punjab,2020,2,30284654252.213646
punjab,2019,4,29989802246.19245
assam,2020,3,29831391259.544064
arunachal-pradesh,2024,2,29706351630.0
tamil-nadu,2018,3,29330092241.18417
bihar,2018,4,28397997168.577694
jharkhand,2019,4,28147748376.67712
chandigarh,2022,4,27879754566.939415
delhi,2018,3,27375846860.61856
chhattisgarh,2019,4,27143788737.21339
himachal-pradesh,2022,1,26518447439.93281
kerala,2020,1,26451084830.934254
himachal-pradesh,2021,4,26136220500.62582
arunachal-pradesh,2024,1,26047044476.0
kerala,2020,2,25894078478.600193
uttar-pradesh,2018,2,25720201695.69999
