year,quarter,entity_type,entity_name,count,amount
2019,4,district,bengaluru urban,180458808,199966708446.8142
2019,4,district,pune,91666565,103270644868.1607
2019,4,district,hyderabad,72987282,130230415629.3025
2019,4,district,jaipur,44335592,81782144762.48987
2019,4,district,rangareddy,31237803,44757331443.568375
2019,4,district,new delhi,29048107,54398427887.76768
2019,4,district,khordha,27477393,34227232121.528633
2019,4,district,visakhapatnam,23594874,39133296330.044624
2019,4,district,medchal malkajgiri,22999944,31417907129.793076
2019,4,district,kolkata,21917627,26475748918.32508
2019,4,pincode,560001,48600127,67204107791.7798
2019,4,pincode,411006,32779718,51360244641.273315
2019,4,pincode,500012,32637373,67244225971.71475
2019,4,pincode,110011,22861243,44827058149.79611
2019,4,pincode,302001,17153003,41220743922.1253
2019,4,pincode,700009,16310685,18429094743.25623
2019,4,pincode,751002,13743261,19669451911.7042
2019,4,pincode,400008,10498727,22289347327.905037
2019,4,pincode,800015,10441675,26228173437.46787
2019,4,pincode,600003,10008230,21375916666.727257
2019,1,district,bengaluru urban,65174133,82111161572.76288
2019,1,district,hyderabad,24838664,34892156029.40753
2019,1,district,pune,23360634,32233517413.825317
2019,1,district,jaipur,19178441,25043540802.372772
2019,1,district,rangareddy,12952050,17677048557.63253
2019,1,district,central delhi,12885975,16258175800.83931
2019,1,district,chennai,11642449,18810971714.51368
2019,1,district,gautam buddha nagar,10750094,10286434896.5461
2019,1,district,medchal malkajgiri,10127087,13392043971.075241
2019,1,district,new delhi,10000765,13939472234.96883
2019,1,pincode,560001,16241340,23597361226.512825
2019,1,pincode,110006,10251048,13201959766.05106
2019,1,pincode,500012,9957548,15399177052.931395
2019,1,pincode,600003,8217185,12799152324.27052
2019,1,pincode,110011,6689740,9632804730.117004
2019,1,pincode,400008,6494529,10238553958.763014
2019,1,pincode,700009,6353573,7885002278.529919
2019,1,pincode,411006,5641935,9202990658.018358
2019,1,pincode,302001,4954219,7600396570.221162
2019,1,pincode,201301,4596696,4223121104.413077
2019,3,district,bengaluru urban,131234422,150244275641.79712
2019,3,district,pune,67093416,78128868958.39702
2019,3,district,hyderabad,55159072,96365182751.25804
2019,3,district,jaipur,36334520,58402103360.67965
2019,3,district,new delhi,24687138,43288057341.92169
2019,3,district,rangareddy,23655175,33663962263.155968
2019,3,district,khordha,18364742,25509656902.49331
2019,3,district,medchal malkajgiri,17492750,23256556346.306458
2019,3,district,visakhapatnam,16694947,26944837120.046288
2019,3,district,kolkata,16306691,21451201632.248753
2019,3,pincode,560001,34182229,49823702321.09828
2019,3,pincode,500012,27360144,55516914964.120514
2019,3,pincode,411006,25995035,42031275308.282005
2019,3,pincode,110011,20159577,36968948004.60185
2019,3,pincode,302001,15037317,31903765546.790287
2019,3,pincode,700009,11494363,14573984421.133255
2019,3,pincode,751002,9990982,16300297217.157505
2019,3,pincode,800015,8554034,21451659382.23745
2019,3,pincode,400008,7234595,14467758895.186302
2019,3,pincode,226004,6687157,17110382946.6282
2019,2,district,bengaluru urban,89148659,113389910485.89922
2019,2,district,pune,44795652,58398808592.1738
2019,2,district,hyderabad,43511186,73949377453.0185
2019,2,district,jaipur,27449382,46056907216.76753
2019,2,district,new delhi,23313548,36146671717.918365
2019,2,district,rangareddy,16348519,25359412038.382965
2019,2,district,patna,13421445,26125484618.416542
2019,2,district,khordha,13339889,19006076643.493904
2019,2,district,kolkata,13259522,17260848900.77318
2019,2,district,lucknow,12624404,22426462674.94428
2019,2,pincode,560001,27169035,40026681539.0066
2019,2,pincode,500012,23303184,42709920754.79193
2019,2,pincode,411006,22544991,34073354893.758354
2019,2,pincode,110011,20001452,31366326747.68567
2019,2,pincode,302001,14130072,26047079270.71371
2019,2,pincode,700009,9694969,12068405239.946836
2019,2,pincode,800015,9362673,19331794343.882797
2019,2,pincode,226004,8966947,16438621373.818607
2019,2,pincode,751002,8318660,12733845249.989027
2019,2,pincode,600003,6992850,13700604318.48539
2020,3,district,bengaluru urban,188947684,261095181780.0901
2020,3,district,pune,101472134,154366363808.0403
2020,3,district,hyderabad,99285803,228448742377.47607
2020,3,district,jaipur,71797182,138189424031.4575
2020,3,district,visakhapatnam,34421299,67628440368.111465
2020,3,district,central delhi,32203761,61527717933.93762
2020,3,district,rangareddy,29573243,51787722036.044556
2020,3,district,bhopal,29560361,57525605025.512215
2020,3,district,medchal malkajgiri,28698311,48831695001.78223
2020,3,district,khordha,23387123,44638448273.52248
2020,3,pincode,500001,70732132,177532009421.7673
2020,3,pincode,560001,56516908,95602796543.47356
2020,3,pincode,411004,49082232,94100767700.43585
2020,3,pincode,302016,34723808,78104750484.0607
2020,3,pincode,110006,27731187,53768475790.81149
2020,3,pincode,462008,18608188,42836925858.3958
2020,3,pincode,800001,14656027,41210183921.21666
2020,3,pincode,700009,14161961,35897930520.847115
2020,3,pincode,751001,11770940,27337331950.38349
2020,3,pincode,110001,11598940,25361403335.98009
2020,4,district,bengaluru urban,267720411,352536741958.4486
2020,4,district,pune,142350762,182511549425.14316
2020,4,district,hyderabad,117008707,243045184188.2821
2020,4,district,jaipur,82378485,159641718978.41748
2020,4,district,rangareddy,53405219,89256130453.08658
2020,4,district,medchal malkajgiri,49900746,81801106073.41168
2020,4,district,visakhapatnam,46551467,91879823025.40399
2020,4,district,bhopal,38492334,67905952477.88091
2020,4,district,central delhi,32194168,61575435521.28284
2020,4,district,mumbai suburban,31947471,52567087497.07483
2020,4,pincode,500001,63797806,154104662898.10648
2020,4,pincode,560001,56310863,93518053649.26508
2020,4,pincode,411004,48628369,83733590846.60262
2020,4,pincode,302016,31028451,71599277148.69725
2020,4,pincode,110006,24969702,48831647275.471146
2020,4,pincode,462008,20637374,44520942803.43778
2020,4,pincode,800001,14983099,39976507362.54611
2020,4,pincode,600003,11690163,26114457256.846283
2020,4,pincode,751001,11637193,26523469788.723434
2020,4,pincode,700009,11305243,28555964654.22016
2020,2,district,bengaluru urban,132120979,176357097466.7659
2020,2,district,pune,58840981,94890914730.75931
2020,2,district,hyderabad,56374644,130820061488.30273
2020,2,district,jaipur,43871862,88270816977.90562
2020,2,district,visakhapatnam,25300401,48293889917.41437
2020,2,district,rangareddy,18068048,31273545586.261536
2020,2,district,medchal malkajgiri,17860704,29732057894.607735
2020,2,district,central delhi,17641823,30418597739.3527
2020,2,district,khordha,16842715,34814877058.416145
2020,2,district,ahmadabad,16430916,32731896547.150326
2020,2,pincode,500001,39752686,101961882246.87434
2020,2,pincode,560001,38973791,66590268182.415665
2020,2,pincode,411004,27617700,58352702890.56202
2020,2,pincode,302016,22032140,53610675078.51194
2020,2,pincode,110006,14401400,26006450222.981194
2020,2,pincode,110001,9780539,21370003546.27849
2020,2,pincode,800001,9603835,29875811977.924408
2020,2,pincode,751001,9411361,23813152297.287315
2020,2,pincode,600003,8641869,22394007817.575096
2020,2,pincode,380001,8490730,21210698645.19712
2020,1,district,bengaluru urban,200174352,231970686013.7528
2020,1,district,pune,107497963,119146177775.3236
2020,1,district,hyderabad,94177232,183207208610.81787
2020,1,district,jaipur,52623661,98360847993.80875
2020,1,district,rangareddy,31802492,45881228273.95146
2020,1,district,visakhapatnam,27115031,48809747614.678894
2020,1,district,medchal malkajgiri,25458101,37404467180.931694
2020,1,district,central delhi,24757650,41219414205.0607
2020,1,district,mumbai suburban,23598054,40462122569.6479
2020,1,district,khordha,23152370,39755139238.6053
2020,1,pincode,500001,63671159,139394865595.49792
2020,1,pincode,560001,57330889,81134886975.52737
2020,1,pincode,411004,43278566,64894935103.99599
2020,1,pincode,302016,24180734,56174137377.66255
2020,1,pincode,110006,19881142,34803706848.31907
2020,1,pincode,600003,14352747,29310364582.884754
2020,1,pincode,110001,13167147,27716426760.692245
2020,1,pincode,700009,13084249,24503076745.659294
2020,1,pincode,751001,11782987,25543182753.84958
2020,1,pincode,400070,10817537,21066837485.651253
2018,1,district,bengaluru urban,8306513,14162750303.06484
2018,1,district,pune,3842929,5378982326.835919
2018,1,district,central delhi,2997714,4312145216.274474
2018,1,district,mumbai,2671029,3923116793.952079
2018,1,district,chennai,2656230,4281137762.522443
2018,1,district,hyderabad,2545507,4287223789.76588
2018,1,district,jaipur,2417174,2953086960.1413727
2018,1,district,birbhum,2125816,2520486412.452376
2018,1,district,kolkata,2043129,2753347660.1429114
2018,1,district,bhopal,1704495,1905473874.8326716
2018,1,pincode,560001,2917356,4684262246.184548
2018,1,pincode,110006,2636324,3714139312.238586
2018,1,pincode,400008,2227885,3105208723.475169
2018,1,pincode,600003,2010196,2997847000.265506
2018,1,pincode,731101,1764956,2366771285.7278423
2018,1,pincode,700009,1390629,1851145374.4001179
2018,1,pincode,411001,1055656,1413523605.5956619
2018,1,pincode,500012,933013,1643061976.4262943
2018,1,pincode,462001,832846,898730606.684653
2018,1,pincode,201301,690196,987613438.9540119
2018,4,district,bengaluru urban,33061353,50279165003.07312
2018,4,district,pune,11075153,18048884123.019886
2018,4,district,central delhi,9373395,13878492766.290386
2018,4,district,hyderabad,9360515,14727846731.548256
2018,4,district,chennai,8007699,14632395110.56675
2018,4,district,jaipur,7271209,12107341570.492035
2018,4,district,gautam buddha nagar,6083056,7483532543.63562
2018,4,district,mumbai,6060284,11506143747.453331
2018,4,district,rangareddy,5803319,9396311751.227482
2018,4,district,kolkata,5401244,8502095208.881001
2018,4,pincode,560001,7725284,14030425393.295612
2018,4,pincode,110006,7532374,11605568511.039162
2018,4,pincode,600003,5539392,10066365923.24963
2018,4,pincode,400008,4586309,8474903607.1238575
2018,4,pincode,731101,3284268,5847016363.011223
2018,4,pincode,700009,2939284,4991163446.523161
2018,4,pincode,500012,2576408,4841883809.168822
2018,4,pincode,201301,2504916,3217987818.841588
2018,4,pincode,411001,2176631,3917444399.4306126
2018,4,pincode,560068,1630650,1941175277.185885
2018,3,district,bengaluru urban,18405424,33812835282.27632
2018,3,district,central delhi,8165361,10515884583.426525
2018,3,district,pune,7890491,12601613622.467594
2018,3,district,birbhum,6066238,6130627463.516832
2018,3,district,chennai,5887343,10122319547.137985
2018,3,district,hyderabad,5786941,9503554478.108147
2018,3,district,khordha,5333443,4389717266.977921
2018,3,district,bankura,5179457,2464193070.534754
2018,3,district,jaipur,4954443,7882149494.55468
2018,3,district,north twenty four parganas,4856114,4545902671.152222
2018,3,pincode,110006,7198882,9029499185.157822
2018,3,pincode,560001,5764203,10161197002.295376
2018,3,pincode,600003,4430587,7070098756.153783
2018,3,pincode,400008,3111609,5436005565.19679
2018,3,pincode,731101,2644866,4429377129.783087
2018,3,pincode,700009,2531420,3555553312.5767612
2018,3,pincode,500012,1726388,3077635699.337487
2018,3,pincode,411001,1689517,2829639683.4067717
2018,3,pincode,221001,1439623,671779876.5266988
2018,3,pincode,201301,1438458,2181626866.4046803
2018,2,district,bengaluru urban,11916035,23824727965.49048
2018,2,district,pune,5162876,8513428062.925206
2018,2,district,chennai,3719593,7305357440.752291
2018,2,district,central delhi,3589206,6223466821.092629
2018,2,district,mumbai,3277612,6048515205.760132
2018,2,district,jaipur,3175255,4952882923.415596
2018,2,district,hyderabad,3156805,6628159910.681627
2018,2,district,birbhum,2775489,3988930679.767912
2018,2,district,kolkata,2501448,4109821729.8900533
2018,2,district,north twenty four parganas,2119664,2509379355.091834
2018,2,pincode,560001,3777086,7545089760.607167
2018,2,pincode,110006,3069733,5237594871.124264
2018,2,pincode,600003,2771900,5194488793.022476
2018,2,pincode,400008,2631405,4703762207.003538
2018,2,pincode,731101,2134258,3697928407.603048
2018,2,pincode,700009,1473202,2566583723.725673
2018,2,pincode,411001,1316115,2145613783.5507011
2018,2,pincode,500012,1024336,2257038218.1929708
2018,2,pincode,201301,971854,1673280979.3831716
2018,2,pincode,462001,928983,1443626493.1959715
2023,4,district,bengaluru urban,1345789742,1497515119439.0
2023,4,district,pune,673819127,639679187750.0
2023,4,district,rangareddy,460487052,647241284036.0
2023,4,district,hyderabad,388720083,532414580487.0
2023,4,district,jaipur,364600665,506659281364.0
2023,4,district,medchal malkajgiri,362103399,502048775975.0
2023,4,district,visakhapatnam,223584765,344512874812.0
2023,4,district,gurugram,200753426,196708697020.0
2023,4,district,thane,192539402,209015388352.0
2023,4,district,gautam buddha nagar,192419424,180306500632.0
2023,4,pincode,500072,69292728,91284974730.0
2023,4,pincode,560068,63713816,62360639499.0
2023,4,pincode,201301,47085837,38136753615.0
2023,4,pincode,560037,43844472,47520783905.0
2023,4,pincode,500081,41757627,48496303521.0
2023,4,pincode,560076,40062218,40406677455.0
2023,4,pincode,560078,39399547,42452583912.0
2023,4,pincode,500032,38490289,44458212241.0
2023,4,pincode,410501,37823604,30451717116.0
2023,4,pincode,560100,37641570,35551238822.0
2023,3,district,bengaluru urban,1298080873,1442850468373.0
2023,3,district,pune,625390706,593994260196.0
2023,3,district,rangareddy,439381886,615864362548.0
2023,3,district,hyderabad,371834420,505153023373.0
2023,3,district,jaipur,342432937,452155901967.0
2023,3,district,medchal malkajgiri,341559058,477958010169.0
2023,3,district,visakhapatnam,209884966,328927220951.0
2023,3,district,gurugram,188985975,179654213171.0
2023,3,district,gautam buddha nagar,180450033,164910883457.0
2023,3,district,thane,170404523,188843145118.0
2023,3,pincode,500072,65847402,88142226984.0
2023,3,pincode,560068,62632584,61263877641.0
2023,3,pincode,560037,45865518,49216757881.0
2023,3,pincode,201301,45155149,35368082651.0
2023,3,pincode,500081,41403377,46841816235.0
2023,3,pincode,560076,39572187,39693662048.0
2023,3,pincode,560078,38275825,41125711463.0
2023,3,pincode,500032,37909563,43121138159.0
2023,3,pincode,560100,36711660,34628577402.0
2023,3,pincode,411057,35730539,28470754620.0
2023,1,district,bengaluru urban,1012347596,1167307214747.0
2023,1,district,pune,505841046,489824129517.0
2023,1,district,rangareddy,329344012,487359310308.0
2023,1,district,hyderabad,286887382,415188829698.0
2023,1,district,medchal malkajgiri,256028955,382423152200.0
2023,1,district,jaipur,250101628,383391511211.0
2023,1,district,visakhapatnam,164358781,277211090180.0
2023,1,district,thane,142097640,164652846524.0
2023,1,district,gurugram,139674963,149429170153.0
2023,1,district,gautam buddha nagar,130607154,135979906082.0
2023,1,pincode,500072,48884911,69139644856.0
2023,1,pincode,560068,48544078,49093973079.0
2023,1,pincode,560037,36487467,39147776972.0
2023,1,pincode,201301,34429152,30542090341.0
2023,1,pincode,560076,31427375,31972479780.0
2023,1,pincode,500081,31374325,36780272643.0
2023,1,pincode,560078,30074920,33530112337.0
2023,1,pincode,500032,28718299,32875192612.0
2023,1,pincode,560100,27670041,26852310085.0
2023,1,pincode,560043,27613832,31447437376.0
2023,2,district,bengaluru urban,1124713207,1308665877658.0
2023,2,district,pune,554427668,535801107518.0
2023,2,district,rangareddy,384456496,561147925919.0
2023,2,district,hyderabad,328016262,467328236325.0
2023,2,district,medchal malkajgiri,296231089,434043629718.0
2023,2,district,jaipur,291245541,414094307123.0
2023,2,district,visakhapatnam,184918179,303874597259.0
2023,2,district,gurugram,168827725,167788722810.0
2023,2,district,gautam buddha nagar,157681545,150948217823.0
2023,2,district,thane,155714593,178939371434.0
2023,2,pincode,500072,58118143,80065833852.0
2023,2,pincode,560068,54020876,54852308815.0
2023,2,pincode,560037,41049027,45095955882.0
2023,2,pincode,201301,40364243,33059188347.0
2023,2,pincode,500081,37375003,43237645304.0
2023,2,pincode,500032,34638820,39216208745.0
2023,2,pincode,560076,34380780,35810435341.0
2023,2,pincode,560078,33172774,37560041959.0
2023,2,pincode,560100,31610913,30713650869.0
2023,2,pincode,411057,30991776,24785623038.0
2021,3,district,bengaluru urban,476485560,626123198813.8513
2021,3,district,pune,303322956,372243656247.4718
2021,3,district,hyderabad,262028284,479343321365.3726
2021,3,district,jaipur,193839196,313664435689.29987
2021,3,district,bhopal,103403998,146735124186.2163
2021,3,district,central delhi,88849847,137311394953.58371
2021,3,district,rangareddy,87884143,147772047919.14047
2021,3,district,medchal malkajgiri,79514766,130838255095.6952
2021,3,district,khordha,71647985,108452202806.23244
2021,3,district,visakhapatnam,69220981,136945652159.26515
2021,3,pincode,500001,173430239,335290201877.6652
2021,3,pincode,560001,171396431,241306340924.00638
2021,3,pincode,411004,155523883,217400690972.0777
2021,3,pincode,302016,108659324,179936124302.00922
2021,3,pincode,110006,77515502,117511789786.64261
2021,3,pincode,462008,74987334,111259178579.96481
2021,3,pincode,800001,49086869,90644799090.27641
2021,3,pincode,444510,45378525,84950919432.04364
2021,3,pincode,600003,42982007,71274098295.90457
2021,3,pincode,751001,41875475,65849220632.325775
2021,1,district,bengaluru urban,348712787,432401341231.7671
2021,1,district,pune,208930588,253623629237.65796
2021,1,district,hyderabad,169703372,316572388133.7874
2021,1,district,jaipur,125917532,223771205713.25284
2021,1,district,bhopal,67309234,101725720745.41443
2021,1,district,rangareddy,60675056,98883148961.30931
2021,1,district,medchal malkajgiri,54854446,87516738646.29623
2021,1,district,central delhi,54173342,90711721159.77658
2021,1,district,mumbai suburban,49079788,75911506798.24135
2021,1,district,visakhapatnam,48248923,95308386037.8472
2021,1,pincode,560001,111898471,154275126291.57785
2021,1,pincode,500001,107274281,218270126529.36053
2021,1,pincode,411004,99287169,142692099313.18896
2021,1,pincode,302016,65639307,124138636281.23145
2021,1,pincode,110006,46104924,76683904356.11441
2021,1,pincode,462008,45920869,76097617508.03972
2021,1,pincode,800001,30937663,68071234953.67711
2021,1,pincode,600003,25512152,44939868773.04714
2021,1,pincode,400070,25090098,39416189451.46673
2021,1,pincode,751001,24151383,44482729136.236565
2021,4,district,bengaluru urban,584958847,755926042210.8081
2021,4,district,pune,371337618,454584743765.05554
2021,4,district,hyderabad,325636475,582079170534.0186
2021,4,district,jaipur,231804892,394435778364.0141
2021,4,district,bhopal,134176541,190196223229.17587
2021,4,district,rangareddy,111354739,188838966046.13513
2021,4,district,central delhi,111134916,177625511230.04297
2021,4,district,medchal malkajgiri,98780634,164568262330.06238
2021,4,district,khordha,94505879,135122128258.68542
2021,4,district,mumbai suburban,92733033,134616103622.6073
2021,4,pincode,500001,213053128,398798138080.5086
2021,4,pincode,560001,206723470,283864051273.69073
2021,4,pincode,411004,185423020,259406175394.85846
2021,4,pincode,302016,130544931,225546213678.03116
2021,4,pincode,462008,97987017,145639258182.99155
2021,4,pincode,110006,96850347,152021116180.99402
2021,4,pincode,800001,61784983,113485175570.40105
2021,4,pincode,444510,55162139,103212697006.96257
2021,4,pincode,600003,54054310,83084090738.55415
2021,4,pincode,751001,52532360,79093274940.53792
2021,2,district,bengaluru urban,326804307,444422398357.67755
2021,2,district,pune,218732925,298657497266.993
2021,2,district,hyderabad,212326623,424872741465.13696
2021,2,district,jaipur,137247139,248390977964.5579
2021,2,district,bhopal,74643630,127038866031.39793
2021,2,district,rangareddy,63155281,113987187628.93881
2021,2,district,central delhi,62131856,100895875737.76093
2021,2,district,medchal malkajgiri,58755991,102864360004.68025
2021,2,district,visakhapatnam,54390299,114439012713.35336
2021,2,district,patna,53400850,114936398151.99364
2021,2,pincode,500001,148864777,315432046413.6635
2021,2,pincode,560001,123224371,183498284704.3348
2021,2,pincode,411004,120795663,186134320440.93646
2021,2,pincode,302016,81782827,152295120262.96942
2021,2,pincode,462008,57596018,101902493881.58667
2021,2,pincode,110006,54888173,88849307061.74399
2021,2,pincode,800001,42836603,91781680811.21812
2021,2,pincode,600003,31694305,54282023022.639435
2021,2,pincode,751001,30961581,53565783087.01067
2021,2,pincode,700009,30775525,59587220231.94326
2024,4,district,bengaluru urban,1674347983,1790144192589.0
2024,4,district,pune,900035103,817012243191.0
2024,4,district,rangareddy,616593580,775467300648.0
2024,4,district,medchal malkajgiri,534184945,651550001586.0
2024,4,district,hyderabad,497079422,601741671786.0
2024,4,district,jaipur,419541051,484830515848.0
2024,4,district,gautambuddha nagar,308036927,255133255191.0
2024,4,district,gurugram,301187458,265842877273.0
2024,4,district,indore,264106034,277132973152.0
2024,4,district,thane,260133540,262082431087.0
2024,4,pincode,500072,97079697,111354370899.0
2024,4,pincode,201301,71597704,52354483878.0
2024,4,pincode,500081,67246969,72596118114.0
2024,4,pincode,560068,63798364,60719442481.0
2024,4,pincode,560100,58873952,55139541256.0
2024,4,pincode,452001,58325781,52789642819.0
2024,4,pincode,410501,55813356,42271781255.0
2024,4,pincode,411057,48685493,38546349566.0
2024,4,pincode,560037,48507070,50370682932.0
2024,4,pincode,560066,44494164,45074223595.0
2024,3,district,bengaluru urban,1631451937,1750492470314.0
2024,3,district,pune,839977058,761109455466.0
2024,3,district,rangareddy,577835181,738052396062.0
2024,3,district,medchal malkajgiri,501688745,624450298660.0
2024,3,district,hyderabad,465828755,570267006787.0
2024,3,district,jaipur,392547155,435623980901.0
2024,3,district,gautambuddha nagar,291856209,236884974417.0
2024,3,district,gurugram,291583503,249171079828.0
2024,3,district,indore,243877173,252129873604.0
2024,3,district,thane,232855213,237163270363.0
2024,3,pincode,500072,92129066,108183377419.0
2024,3,pincode,201301,68967992,49390127364.0
2024,3,pincode,500081,64860408,70783617503.0
2024,3,pincode,560068,63337647,60042061003.0
2024,3,pincode,560100,57890073,54596825856.0
2024,3,pincode,452001,54979662,48977311740.0
2024,3,pincode,410501,51594896,38484342016.0
2024,3,pincode,560037,50010832,51995620737.0
2024,3,pincode,411057,46700269,37628700658.0
2024,3,pincode,560066,44823424,45681565757.0
2024,1,district,bengaluru urban,1410557938,1530943099565.0
2024,1,district,pune,733071386,673821354148.0
2024,1,district,rangareddy,488047529,658571093582.0
2024,1,district,jaipur,417960026,559737992837.0
2024,1,district,hyderabad,402314318,527685058004.0
2024,1,district,medchal malkajgiri,380041109,499878493547.0
2024,1,district,visakhapatnam,238418938,363341573689.0
2024,1,district,gurugram,220314122,209018505349.0
2024,1,district,gautam buddha nagar,214720949,194154342486.0
2024,1,district,indore,204031251,225074399956.0
2024,1,pincode,500072,69094126,88039295927.0
2024,1,pincode,560068,65916906,63058218288.0
2024,1,pincode,201301,52120222,40796556514.0
2024,1,pincode,560037,44437042,46789563898.0
2024,1,pincode,410501,43473832,33452714100.0
2024,1,pincode,500081,43128414,49113797461.0
2024,1,pincode,560076,40863256,40420178638.0
2024,1,pincode,560078,40535894,42657750513.0
2024,1,pincode,411057,40434976,31533887646.0
2024,1,pincode,500032,40014033,45087861514.0
2024,2,district,bengaluru urban,1497173080,1626460643067.0
2024,2,district,pune,774940848,703288284286.0
2024,2,district,rangareddy,539561247,707566316827.0
2024,2,district,jaipur,473991132,581415499446.0
2024,2,district,hyderabad,435136278,550918208821.0
2024,2,district,medchal malkajgiri,416369023,532889975847.0
2024,2,district,gurugram,267480541,231403496054.0
2024,2,district,gautam buddha nagar,265595986,216594147530.0
2024,2,district,visakhapatnam,260339876,378402015204.0
2024,2,district,indore,224896033,239315772788.0
2024,2,pincode,500072,76230583,93277825439.0
2024,2,pincode,560068,69364986,66289367831.0
2024,2,pincode,201301,62464983,44004838882.0
2024,2,pincode,500081,47745271,52611737092.0
2024,2,pincode,410501,46907334,34713255109.0
2024,2,pincode,560037,46776034,48880395601.0
2024,2,pincode,500032,43718050,47723230498.0
2024,2,pincode,560076,42881778,42679317598.0
2024,2,pincode,560078,42529166,45410228491.0
2024,2,pincode,411057,42406480,32822122569.0
2022,4,district,hyderabad,1133829812,1753799022390.8733
2022,4,district,bengaluru urban,876647100,1092079302011.8888
2022,4,district,pune,544687754,590334491443.0927
2022,4,district,jaipur,404922774,635458549842.8215
2022,4,district,central delhi,280960656,386107883617.5307
2022,4,district,mumbai suburban,248827345,310278216439.5166
2022,4,district,chhindwara,245710341,350638062974.85736
2022,4,district,patna,217434851,352393762150.454
2022,4,district,khordha,208260666,268479766618.40594
2022,4,district,rangareddy,191136402,295773661437.69385
2022,4,pincode,500034,967508435,1501499856273.482
2022,4,pincode,560027,290033166,383980424744.5664
2022,4,pincode,411033,263248580,298971294541.89966
2022,4,pincode,110006,258183697,349487194869.16797
2022,4,pincode,302012,255709582,401447081116.4074
2022,4,pincode,480001,240053791,341860974379.64307
2022,4,pincode,400070,180508440,226320223720.0673
2022,4,pincode,800001,167166031,269652534972.60126
2022,4,pincode,751001,140210762,184650659638.9054
2022,4,pincode,700039,119193886,219834107643.85355
2022,1,district,bengaluru urban,648380838,837938769153.0938
2022,1,district,pune,424149132,508475101454.5797
2022,1,district,hyderabad,372711414,661512502141.0775
2022,1,district,jaipur,262950613,434507898653.22876
2022,1,district,bhopal,159892411,221096758835.27948
2022,1,district,central delhi,128309915,198072597274.588
2022,1,district,rangareddy,127675017,216609881380.40106
2022,1,district,medchal malkajgiri,110893187,185168270983.38605
2022,1,district,mumbai suburban,104595313,148080835860.6061
2022,1,district,khordha,104052705,152745328927.4852
2022,1,pincode,500001,248675599,460948755722.1826
2022,1,pincode,560001,224793308,308663371704.65454
2022,1,pincode,411004,209101358,285005833904.6318
2022,1,pincode,302016,148956604,248958961898.95383
2022,1,pincode,462008,119378084,172143368941.8931
2022,1,pincode,110006,112708284,170854549748.09644
2022,1,pincode,444510,69862188,129741278088.80704
2022,1,pincode,800001,68427326,126972470461.14954
2022,1,pincode,600003,62446149,95888452779.63263
2022,1,pincode,751001,58525215,91210203433.81744
2022,3,district,hyderabad,1018658174,1586047443981.7903
2022,3,district,bengaluru urban,738035161,930886457807.8191
2022,3,district,pune,505018506,549531791371.8348
2022,3,district,jaipur,377469909,564818218571.2906
2022,3,district,central delhi,243139962,327191972497.86694
2022,3,district,mumbai suburban,197724164,247678975470.48975
2022,3,district,patna,188665398,298860414441.2887
2022,3,district,khordha,182514532,234713995654.54218
2022,3,district,chhindwara,169367916,236429180484.7117
2022,3,district,rangareddy,169029273,272598081405.12262
2022,3,pincode,500034,832279716,1276247184385.9084
2022,3,pincode,110006,222465526,294132832922.7636
2022,3,pincode,302012,220682742,322546632329.7969
2022,3,pincode,411033,217102802,241609848561.36987
2022,3,pincode,480001,164538285,229267141662.06653
2022,3,pincode,560027,160449902,217879670192.8064
2022,3,pincode,800001,143978604,226644911906.22284
2022,3,pincode,400070,137051260,170363147506.6858
2022,3,pincode,751001,123281915,161654599037.78528
2022,3,pincode,700039,82900479,153815755896.1881
2022,2,district,bengaluru urban,786978117,1013933810932.2711
2022,2,district,pune,520321567,620747087392.5974
2022,2,district,hyderabad,446470234,775908693266.7238
2022,2,district,jaipur,314511010,497492495896.22046
2022,2,district,bhopal,185588829,255910395858.58392
2022,2,district,rangareddy,161888380,267052522620.51453
2022,2,district,central delhi,159034619,232911858055.0848
2022,2,district,medchal malkajgiri,134114768,221257316347.71973
2022,2,district,mumbai suburban,125227570,172590494011.93738
2022,2,district,khordha,124986765,174299128204.99298
2022,2,pincode,500001,296874552,536659038240.45605
2022,2,pincode,560001,271515853,367011500113.69904
2022,2,pincode,411004,262731186,356436998068.0399
2022,2,pincode,302016,181570316,290408785688.9401
2022,2,pincode,110006,139136098,200269818218.75818
2022,2,pincode,462008,137837715,198147341166.69937
2022,2,pincode,444510,93575752,168031360482.06287
2022,2,pincode,800001,90260337,162195041186.36075
2022,2,pincode,600003,75241472,108938946466.4329
2022,2,pincode,751001,69262961,101369063330.80547
